canonical_name,category,source_group,source_url,note
Esmer Pirinç,existing_user_dataset,user_file,uploaded file,carried from input
Esmer Şeker,sweetener,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Ezine Peyniri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Fasulye,existing_user_dataset,user_file,uploaded file,carried from input
Fesleğen,herb,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Fındık,existing_user_dataset,user_file,uploaded file,carried from input
Fıstık,nut,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Galeta Unu,pantry,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Greyfurt,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Gül Suyu,condiment,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Güllaç Yaprağı,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Gün Kurusu Kayısı,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Hake,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Hamsi,existing_user_dataset,user_file,uploaded file,carried from input
Hardal,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Hardal Tohumu,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Haşhaş,seed,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Havuç,existing_user_dataset,user_file,uploaded file,carried from input
Hellim,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Hindi But,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Hindi Füme,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Hindi Göğsü,existing_user_dataset,user_file,uploaded file,carried from input
Hindistan Cevizi Sütü,existing_user_dataset,user_file,uploaded file,carried from input
Hindistan Cevizi Yağı,existing_user_dataset,user_file,uploaded file,carried from input
Hurma,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
İnce Bulgur,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
İncir,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
İrmik,grain,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
İşkembe,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
İsot,spice,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Ispanak,existing_user_dataset,user_file,uploaded file,carried from input
İstavrit,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
İstiridye Mantarı,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Jasmin Pirinç,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kabak,existing_user_dataset,user_file,uploaded file,carried from input
Kabak Çekirdeği,seed,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kabak Çekirdeği İçi,seed,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kabartma Tozu,pantry,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kadayıf,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kadayıflık Fıstık,dessert,baklava,https://en.wikipedia.org/wiki/Baklava,new row
Kahve,existing_user_dataset,user_file,uploaded file,carried from input
Kaju,existing_user_dataset,user_file,uploaded file,carried from input
Kakao,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kakule,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kalamar,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kalkan,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kapari,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kapya Biber,existing_user_dataset,user_file,uploaded file,carried from input
Kara Lahana,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Karabiber,existing_user_dataset,user_file,uploaded file,carried from input
Karanfil,spice,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Karbonat,pantry,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Karides,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Karnabahar,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Karpuz,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kars Gravyeri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kaşar Peyniri,existing_user_dataset,user_file,uploaded file,carried from input
Kavrulmuş Fındık,nut,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kavun,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kayısı,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kaymak,dairy,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kaymaklık Krema,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Keçi Peyniri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Keçiboynuzu Pekmezi,sweetener,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kefal,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kefir,existing_user_dataset,user_file,uploaded file,carried from input
Kekik,spice,pantry_essentials,https://www.turkishfoodtravel.com/2025/07/06/the-most-essential-ingredients-in-turkish-cooking/,new row
Kereviz,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kereviz Sapı,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Keşkeklik Buğday,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Keten Tohumu,existing_user_dataset,user_file,uploaded file,carried from input
Kimyon,existing_user_dataset,user_file,uploaded file,carried from input
Kinoa,existing_user_dataset,user_file,uploaded file,carried from input
Kiraz,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kırık Pirinç,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kırmızı Biber,existing_user_dataset,user_file,uploaded file,carried from input
Kırmızı Lahana,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kırmızı Mercimek,existing_user_dataset,user_file,uploaded file,carried from input
Kırmızı Pul Biber,existing_user_dataset,user_file,uploaded file,carried from input
Kırmızı Turp,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kişniş,herb,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kivi,existing_user_dataset,user_file,uploaded file,carried from input
Kıyma,existing_user_dataset,user_file,uploaded file,carried from input
Kornişon,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Krema,existing_user_dataset,user_file,uploaded file,carried from input
Kültür Mantarı,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuru Fasulye,existing_user_dataset,user_file,uploaded file,carried from input
Kuru İncir,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kuru Maya,pantry,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuru Nane,spice,ezogelin,https://en.wikipedia.org/wiki/Ezogelin_soup,new row
Kuru Üzüm,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Kurutulmuş Kekik,spice,pantry_essentials,https://www.turkishfoodtravel.com/2025/07/06/the-most-essential-ingredients-in-turkish-cooking/,new row
Kurutulmuş Nane,spice,ezogelin,https://en.wikipedia.org/wiki/Ezogelin_soup,new row
Kuşkonmaz,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuskus,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuzu Eti,existing_user_dataset,user_file,uploaded file,carried from input
Kuzu İncik,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuzu Kıyma,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Kuzu Pirzola,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Labne,dairy,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Lahana Yaprağı,vegetable,dolma_sarma,https://gastronomy.goturkiye.com/blog/16-foods-you-have-to-try-on-your-trip-to-turkiye,new row
Laktozsuz Süt,existing_user_dataset,user_file,uploaded file,carried from input
Laktozsuz Yoğurt,existing_user_dataset,user_file,uploaded file,carried from input
Lavaş,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Levrek,existing_user_dataset,user_file,uploaded file,carried from input
Lime,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Limon,existing_user_dataset,user_file,uploaded file,carried from input
Limon Kabuğu,condiment,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Limon Tuzu,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Lor Peyniri,existing_user_dataset,user_file,uploaded file,carried from input
Lüfer,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Mahlep,spice,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Makarna,existing_user_dataset,user_file,uploaded file,carried from input
Mandalina,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Mantar,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Marul,existing_user_dataset,user_file,uploaded file,carried from input
Maya,pantry,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Maydanoz,existing_user_dataset,user_file,uploaded file,carried from input
Mercimek,existing_user_dataset,user_file,uploaded file,carried from input
Meyveli Yoğurt,existing_user_dataset,user_file,uploaded file,carried from input
Mezgit,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Midye,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Mihaliç Peyniri,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Mısır,existing_user_dataset,user_file,uploaded file,carried from input
Mısır Nişastası,pantry,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Mısır Unu,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Mısır Yarması,grain,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Mozzarella,existing_user_dataset,user_file,uploaded file,carried from input
Muskat,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Muz,existing_user_dataset,user_file,uploaded file,carried from input
Nane,existing_user_dataset,user_file,uploaded file,carried from input
Nar,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Nar Ekşisi,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Nişasta,pantry,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Nohut,existing_user_dataset,user_file,uploaded file,carried from input
Ördek Yumurtası,dairy,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Osmancık Pirinç,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Paça,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Palamut,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pancar,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pastırma,protein,kuru_fasulye,https://en.wikipedia.org/wiki/Kuru_fasulye,new row
Patates,existing_user_dataset,user_file,uploaded file,carried from input
Patlıcan,existing_user_dataset,user_file,uploaded file,carried from input
Pazı,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pekmez,sweetener,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pide,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pilavlık Bulgur,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Pırasa,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Pirinç,existing_user_dataset,user_file,uploaded file,carried from input
Pirinç Unu,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Pita Ekmeği,existing_user_dataset,user_file,uploaded file,carried from input
Poğaça,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Portakal,existing_user_dataset,user_file,uploaded file,carried from input
Portakal Çiçeği Suyu,condiment,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Portakal Kabuğu,condiment,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Protein Tozu,existing_user_dataset,user_file,uploaded file,carried from input
Pudra Şekeri,sweetener,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Ramazan Pidesi,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Rezene,herb,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Ricotta,existing_user_dataset,user_file,uploaded file,carried from input
Roka,existing_user_dataset,user_file,uploaded file,carried from input
Safran,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Sakatat,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Salatalık,existing_user_dataset,user_file,uploaded file,carried from input
Salatalık Turşusu,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Salep,beverage,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Şalgam,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Şalgam Suyu,beverage,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Sardalya,existing_user_dataset,user_file,uploaded file,carried from input
Sarı Mercimek,legume,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Sarımsak,existing_user_dataset,user_file,uploaded file,carried from input
Şeftali,existing_user_dataset,user_file,uploaded file,carried from input
Semizotu,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Şerbet,dessert,baklava,https://en.wikipedia.org/wiki/Baklava,new row
Simit,bakery,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Sirke,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Sivri Biber,vegetable,menemen,https://en.wikipedia.org/wiki/Menemen_(food),new row
Siyah Çay,existing_user_dataset,user_file,uploaded file,carried from input
Siyah Susam,seed,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Soğan,existing_user_dataset,user_file,uploaded file,carried from input
Somon,existing_user_dataset,user_file,uploaded file,carried from input
Soya Sütü,existing_user_dataset,user_file,uploaded file,carried from input
Su,existing_user_dataset,user_file,uploaded file,carried from input
Sucuk,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Sumak,spice,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Susam,existing_user_dataset,user_file,uploaded file,carried from input
Süt,existing_user_dataset,user_file,uploaded file,carried from input
Süt Kreması,dairy,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Süzme Yoğurt,existing_user_dataset,user_file,uploaded file,carried from input
Tahini,existing_user_dataset,user_file,uploaded file,carried from input
Tam Buğday Ekmeği,existing_user_dataset,user_file,uploaded file,carried from input
Tam Buğday Makarnası,existing_user_dataset,user_file,uploaded file,carried from input
Tane Karabiber,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tarçın,existing_user_dataset,user_file,uploaded file,carried from input
Tarhana,pantry,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tarhun,herb,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tatlı Kırmızı Toz Biber,spice,ezogelin,https://en.wikipedia.org/wiki/Ezogelin_soup,new row
Tavuk,existing_user_dataset,user_file,uploaded file,carried from input
Tavuk But,existing_user_dataset,user_file,uploaded file,carried from input
Tavuk Ciğeri,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tavuk Göğsü,existing_user_dataset,user_file,uploaded file,carried from input
Tavuk Kalça,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tavuk Kanat,protein,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Taze Börülce,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Taze Fasulye,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Taze Sarımsak,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Taze Soğan,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tel Kadayıf,dessert,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Tel Şehriye,grain,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Tereyağı,existing_user_dataset,user_file,uploaded file,carried from input
Ton Balığı,existing_user_dataset,user_file,uploaded file,carried from input
Toz Şeker,sweetener,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Tulum Peyniri,existing_user_dataset,user_file,uploaded file,carried from input
Turp,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Tuz,existing_user_dataset,user_file,uploaded file,carried from input
Un,existing_user_dataset,user_file,uploaded file,carried from input
Uskumru,seafood,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Üzüm,existing_user_dataset,user_file,uploaded file,carried from input
Üzüm Pekmezi,sweetener,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Üzüm Sirkesi,condiment,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Vanilya,sweetener,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Vişne,fruit,dessert,https://en.wikipedia.org/wiki/List_of_Turkish_desserts,new row
Yarma,grain,ayran_asi,https://gastronomy.goturkiye.com/blog/turkish-cuisine-in-the-heat-of-summer,new row
Yaş Maya,pantry,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Yeni Dünya,fruit,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Yenibahar,spice,spices,https://goturkiye.com/blog/10-most-popular-spices-in-turkish-cuisine,new row
Yer Elması,vegetable,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Yer Fıstığı,nut,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Yer Fıstığı Ezmesi,existing_user_dataset,user_file,uploaded file,carried from input
Yeşil Biber,vegetable,menemen,https://en.wikipedia.org/wiki/Menemen_(food),new row
Yeşil Çay,existing_user_dataset,user_file,uploaded file,carried from input
Yeşil Mercimek,legume,pantry_legumes,https://www.turkishfoodtravel.com/2025/07/19/the-most-essential-ingredients-in-turkish-cooking-2/,new row
Yoğurt,existing_user_dataset,user_file,uploaded file,carried from input
Yufka,bakery,borek,https://www.turkishfoodtravel.com/2021/12/14/turkish-borek-recipe-2/,new row
Yulaf,existing_user_dataset,user_file,uploaded file,carried from input
Yulaf Ezmesi,existing_user_dataset,user_file,uploaded file,carried from input
Yulaf Sütü,existing_user_dataset,user_file,uploaded file,carried from input
Yumurta,existing_user_dataset,user_file,uploaded file,carried from input
Zencefil,spice,regional,https://en.wikipedia.org/wiki/Turkish_cuisine,new row
Zerdeçal,existing_user_dataset,user_file,uploaded file,carried from input
Zeytin,existing_user_dataset,user_file,uploaded file,carried from input
Zeytinyağı,existing_user_dataset,user_file,uploaded file,carried from input
